state,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
Vermont,73,3,71.1,3,73.1,3,74.1,2.9,2008
Virginia,71.3,2.3,69.5,2.3,70,2.3,71.5,2.3,2008
Washington,66,2.6,66.5,2.6,66.9,2.6,65.6,2.7,2008
West Virginia,78.5,3,75.9,3.1,76.5,3,80.5,2.9,2008
Wisconsin,70.5,2.5,70.5,2.5,70,2.5,70.7,2.5,2008
Wyoming,73.5,3.1,71.4,3.1,74,3.1,74.4,3,2008
Alabama,71.7,3.3,73.9,3.3,75,3.3,72.6,2,2007
Alaska,66.2,3.3,65.4,3.3,67,3.3,67.9,2,2007
Arizona,72.1,3,71.1,3,69.8,3,68.5,1.8,2007
Arkansas,68,3.5,70.1,3.5,71.5,3.3,68.7,2.1,2007
California,58.4,1.3,58.7,1.3,58.5,1.3,57.7,0.8,2007
Colorado,69.7,2.5,70.7,2.5,70.5,2.5,69.8,1.5,2007
Connecticut,71,2.3,71.1,2.3,69.7,2.3,69.3,1.4,2007
Delaware,76.5,2.6,77,2.6,76.4,2.6,77.3,1.6,2007
District of Columbia,46.2,3,47.6,2.8,48,3,47,1.8,2007
Florida,72.9,1.6,71.2,1.6,71.2,1.6,71.7,1,2007
Georgia,69.8,2.3,67,2.5,66,2.5,67.4,1.5,2007
Hawaii,59.6,3.3,62.4,3.3,61.6,3.3,56.9,2,2007
Idaho,72.3,3.5,75.6,3.3,74.9,3.3,75.3,2,2007
Illinois,69.5,2,69.4,2,70.4,2,68.4,1.2,2007
Indiana,72.9,2.8,73.9,2.6,74.6,2.6,73.9,1.6,2007
Iowa,72.3,2.5,73.8,2.5,74.6,2.3,74.1,1.5,2007
Kansas,68.9,3,70.2,3,69.4,3,69.3,1.8,2007
Kentucky,72.9,3,70.3,3,73.2,2.8,75.1,1.7,2007
Louisiana,71.1,3.6,71.8,3.6,70.5,3.6,72.6,2.1,2007
Maine,75.1,2.6,75.9,2.6,73.8,2.6,72.4,1.6,2007
Maryland,72.6,2.3,72.4,2.3,71.5,2.3,70.3,1.4,2007
Massachusetts,64.4,3,64.3,3,65.1,3,63.4,1.8,2007
Michigan,77.1,2,76.6,2.1,76.5,2.1,75.5,1.3,2007
Minnesota,75.3,2.1,72.3,2.1,73,2.1,73.4,1.3,2007
Mississippi,76.5,3.5,73,3.6,74.4,3.5,72.3,2.2,2007
Missouri,69.7,2.6,70.2,2.6,71.1,2.6,70.7,1.6,2007
Montana,67.1,3.5,65.6,3.5,68,3.5,68.3,2.1,2007
Nebraska,67.5,2.8,68.7,2.8,68.4,2.8,68.2,1.7,2007
Nevada,65.9,3,62.8,3,62.5,3,62.1,1.8,2007
New Hampshire,71.5,2.5,73.4,2.3,73.8,2.3,76.5,1.4,2007
New Jersey,68.8,2.5,68.9,2.5,67.6,2.5,68,1.5,2007
New Mexico,69.7,3.6,71.4,3.5,72,3.5,72.9,2.1,2007
New York,55.5,1.8,56.4,1.8,56.3,1.8,55.4,1.1,2007
North Carolina,69.7,2.5,70.1,2.5,71.3,2.5,70.2,1.5,2007
North Dakota,67.3,3.3,66.7,3.3,65.5,3.5,64.4,2.1,2007
Ohio,73.1,2,70.6,2,69.8,2.1,72.2,1.2,2007
Oklahoma,69.2,3.3,69.3,3.3,70.9,3.3,71.8,1.9,2007
Oregon,65.9,3.1,66.9,3.1,65.7,3.1,64.2,1.9,2007
Pennsylvania,72.7,2,73.2,2,73.1,2,72.6,1.2,2007
Rhode Island,64.4,2.8,65.5,2.8,65.6,2.6,63.9,1.7,2007
South Carolina,73.4,3.1,75.6,3,74.9,3,72.4,1.9,2007
South Dakota,71.5,2.8,70.4,2.8,69.4,2.8,70.3,1.7,2007
Tennessee,70.4,3,69.5,3,70.5,3,70.4,1.8,2007
Texas,66.6,1.6,65.9,1.6,66,1.6,65.7,1,2007
Utah,73.2,3.3,75.1,3.1,75.5,3.1,75.8,1.9,2007
Vermont,73.4,2.8,73.3,3,73.9,3,74.3,1.7,2007
Virginia,72.8,2.3,72.4,2.3,70.6,2.3,70.1,1.4,2007
Washington,67.4,2.6,68.8,2.6,66.3,2.6,64.5,1.6,2007
West Virginia,76.8,3,75.1,3.1,78.4,3,80.3,1.7,2007
Wisconsin,70.5,2.5,71.1,2.5,69.8,2.5,70.6,1.5,2007
Wyoming,74.2,3.1,71.6,3.3,72.8,3.1,74,1.9,2007
Alabama,73.9,3.3,74.8,3.3,75.7,3.1,72.4,2,2006
Alaska,67,3.3,68.4,3.3,66.8,3.3,66.6,2,2006
Arizona,69.1,3.1,72.8,3,73.2,3,71.2,1.9,2006
Arkansas,70.5,3.3,70.7,3.5,70.6,3.5,71.5,2,2006
California,59.8,1.3,60.1,1.3,60.7,1.3,60,0.8,2006
Colorado,69.7,2.5,70.4,2.5,70.9,2.5,69.5,1.5,2006
Connecticut,71.5,2.3,71.4,2.3,70.9,2.3,70.5,1.4,2006
Delaware,76.1,2.6,77.9,2.6,76.8,2.6,76.4,1.6,2006
District of Columbia,44.1,3,45.8,3,45.8,3,48.1,1.8,2006
Florida,72.5,1.6,72,1.6,71.9,1.6,73.3,1,2006
Georgia,68.4,2.5,68,2.5,68.6,2.5,69.2,1.4,2006
Hawaii,59.6,3.3,61.9,3.3,60.4,3.3,57.6,2,2006
Idaho,73.9,3.5,76.2,3.3,75.2,3.3,75.1,2,2006
Illinois,69.4,2,70.3,2,70.9,2,70.8,1.2,2006
Indiana,74,2.8,74.8,2.8,74.1,2.8,74.1,1.6,2006
Iowa,74.1,2.5,74.8,2.3,74.1,2.5,72.9,1.5,2006
Kansas,70.1,3,69.8,3,70.6,3,69.4,1.8,2006
Kentucky,71.4,3,70.9,3,71.1,3,73.3,1.7,2006
Louisiana,68.1,3.8,71.8,3.6,71.9,3.6,73.5,2.1,2006
Maine,75.5,2.5,73.7,2.6,76.4,2.5,75.5,1.5,2006
Maryland,74,2.3,72.5,2.3,71.2,2.3,72.7,1.4,2006
Massachusetts,63.7,3,64.5,3,66,3,66.5,1.8,2006
Michigan,76.9,2.1,77.7,2,77.1,2,78,1.2,2006
Minnesota,76.3,2.1,75.6,2.1,75.4,2.1,75.3,1.3,2006
Mississippi,76.3,3.5,76.3,3.5,75.4,3.5,76.9,2.1,2006
Missouri,71.2,2.6,71.9,2.6,72.4,2.6,71.9,1.6,2006
Montana,69.7,3.5,70.6,3.5,70.2,3.5,67.8,2.1,2006
Nebraska,69.8,2.8,67.8,2.8,66.2,2.8,66.7,1.7,2006
Nevada,65,3,64,3,66.8,3,66.7,1.8,2006
New Hampshire,73.4,2.3,74.7,2.3,74.6,2.3,73.9,1.4,2006
New Jersey,68.5,2.5,70.4,2.5,69.4,2.5,67.9,1.5,2006
New Mexico,72.4,3.5,70.9,3.6,72.2,3.5,72.3,2.1,2006
New York,54.9,1.8,55.7,1.8,56.2,1.8,55.8,1.1,2006
North Carolina,70.7,2.5,69.9,2.5,70.5,2.5,69.6,1.5,2006
North Dakota,68,3.3,68.1,3.3,68.2,3.3,68.8,2,2006
Ohio,72.5,2,71.1,2,71.7,2,73.1,1.2,2006
Oklahoma,72.2,3.1,70,3.3,72.5,3.1,71.7,2,2006
Oregon,68.8,3.1,67.9,3.1,68.3,3.1,67.3,1.9,2006
Pennsylvania,73.1,2,73.5,2,72.8,2,73.3,1.2,2006
Rhode Island,63.6,2.8,64.4,2.8,64.7,2.6,65.8,1.6,2006
South Carolina,74,3,74.7,3,74.7,3.1,73.5,1.9,2006
South Dakota,71.9,2.8,70.5,2.8,70.6,2.8,69.3,1.7,2006
Tennessee,70.1,3,71.6,3,72.8,2.8,70.7,1.8,2006
Texas,66.1,1.6,65.8,1.6,65.9,1.6,66.1,1,2006
Utah,73.6,3.3,73.6,3.3,75.4,3.1,71.6,2,2006
Vermont,76.8,2.8,73.4,3,72.1,3,73.9,1.7,2006
Virginia,70.6,2.3,71.3,2.3,71,2.3,71.4,1.4,2006
Washington,67.7,2.6,65.9,2.8,65.7,2.6,67.4,1.6,2006
West Virginia,77.7,3,77.3,3,79.3,3,79.4,1.8,2006
Wisconsin,69.4,2.5,69.3,2.6,71.5,2.5,70.8,1.5,2006
Wyoming,71.5,3.1,73.7,3.1,75.4,3,74.3,1.9,2006
Alabama,77.1,3.1,76.1,3.1,76.8,3.1,76.3,1.9,2005
Alaska,64.8,3.5,65.6,3.5,67,3.1,66.6,2,2005
Arizona,74.1,3.1,69.5,3.1,70.8,3.1,70.2,1.9,2005
Arkansas,70.1,3.5,68.4,3.5,67.4,3.5,70.7,2,2005
California,59.9,1.5,59,1.5,59.8,1.5,60.1,0.8,2005
Colorado,72.1,2.6,71.6,2.6,70.4,2.6,70.1,1.5,2005
Connecticut,68.8,2.3,70.3,2.3,70.6,2.3,72.2,1.4,2005
Delaware,75.9,2.8,74.7,2.8,76.7,2.6,75.8,1.6,2005
District of Columbia,44.5,2.8,47.9,2.8,46.8,2.8,44,1.8,2005
Florida,73.2,1.6,72.1,1.6,71.9,1.6,72.4,1,2005
Georgia,66.9,2.6,66.9,2.6,67.9,2.6,70.1,1.5,2005
Hawaii,61.2,3.5,59.6,3.5,59.5,3.1,58.8,2,2005
Idaho,75.6,3.5,75.4,3.5,74.1,3.5,71.8,2.2,2005
Illinois,71.2,2,70.2,2,71.3,2,70.9,1.2,2005
Indiana,73.6,2.8,76.3,2.6,74.9,2.6,75,1.6,2005
Iowa,74.5,2.3,74.3,2.3,73.7,2.3,73.3,1.5,2005
Kansas,70.4,2.8,69.4,2.8,69.7,2.8,68.4,1.8,2005
Kentucky,70.4,2.8,72.1,2.8,72.3,2.8,71.7,1.8,2005
Louisiana,72.8,3.5,71,3.5,73,3.5,73.1,2.2,2005
Maine,73.5,2.6,74,2.6,74.3,2.6,73.8,1.6,2005
Maryland,71.2,2.3,71.9,2.3,70.6,2.3,71.2,1.4,2005
Massachusetts,63.1,2.8,62.1,2.8,64.9,2.8,63.4,1.8,2005
Michigan,75.4,2,76.7,2,77.1,2,76.6,1.3,2005
Minnesota,78.8,2,76.1,2,75.6,2.3,75.6,1.3,2005
Mississippi,79,3.5,80.4,3.1,78.1,3.5,77.7,2,2005
Missouri,70.7,2.6,73.7,2.6,73.6,2.6,71.4,1.6,2005
Montana,68.7,3.5,71.7,3.5,72.8,3.5,68.6,2.1,2005
Nebraska,70.9,2.8,71.1,2.8,70,2.8,68.6,1.7,2005
Nevada,65.2,3.1,61.9,3.1,63,3.1,63.8,1.8,2005
New Hampshire,71,2.6,75.7,2.3,74.6,2.3,74.7,1.4,2005
New Jersey,71.3,2.6,69.1,2.6,69.9,2.6,70.1,1.5,2005
New Mexico,72.8,3.8,70.5,3.8,70.6,3.8,71.7,2.1,2005
New York,56.6,1.6,55.9,1.6,55.2,1.6,56,1.1,2005
North Carolina,71.7,2.6,70.2,2.6,70.1,2.6,71.6,1.5,2005
North Dakota,69.9,3.1,67.8,3.5,69,3.5,67.2,2.1,2005
Ohio,72.7,2,73.9,2,73.1,2,73.4,1.2,2005
Oklahoma,73.1,3.1,73.7,3.1,72.6,3.1,72.3,1.9,2005
Oregon,68,3.1,67.3,3.1,67.6,3.1,70.1,1.9,2005
Pennsylvania,73.4,2,72.6,2,73.3,2,73.7,1.2,2005
Rhode Island,60.6,2.8,63.7,2.8,64.1,2.6,63.8,1.6,2005
South Carolina,74.9,3.1,73.3,3.1,73.8,3.1,73.6,1.9,2005
South Dakota,70.6,2.8,66.5,2.8,67.2,2.8,69.2,1.7,2005
Tennessee,71.7,2.8,72.7,2.8,73.3,2.8,71.8,1.8,2005
Texas,66.9,1.6,65.4,1.6,65.4,1.6,66,1,2005
Utah,74.4,3.5,74.8,3.5,73.3,3.5,73,2,2005
Vermont,75.7,2.8,73.7,2.8,72.7,2.8,74.8,1.7,2005
Virginia,70.9,2.3,69.2,2.3,71.8,2.3,72.8,1.4,2005
Washington,67.2,2.8,67.5,2.8,66.5,2.6,69.2,1.6,2005
West Virginia,82.4,2.8,81.8,2.8,81.2,2.8,79.9,1.7,2005
Wisconsin,72.1,2.6,71,2.6,70.9,2.6,70.4,1.5,2005
Wyoming,69.7,3.1,74.4,3.1,74.5,3.1,72.5,1.9,2005
