state,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
New Hampshire,74.5,2.3,74.2,2.3,74.5,2.3,73.3,2.3,2013
New Jersey,65.6,2.5,64.1,2.6,65.2,2.5,64.9,2.5,2013
New Mexico,68.6,3.6,66.7,3.6,67.1,3.6,67,3.6,2013
New York,51.9,1.8,53.8,1.8,53.9,1.8,52.5,1.8,2013
North Carolina,67.4,2.5,67.6,2.5,68.4,2.5,66.1,2.5,2013
North Dakota,66.3,3.2,69.2,3.1,68.9,3.1,67.6,3.2,2013
Ohio,68.2,2.1,67.7,2.1,67.2,2.1,68.4,2.1,2013
Oklahoma,69.3,3.2,67.7,3.2,69.9,3.2,72.7,3.1,2013
Oregon,62.3,3.1,66,3.1,65.6,3.1,63,3.1,2013
Pennsylvania,70.6,2,70.5,2,72,2,72.9,1.9,2013
Rhode Island,62.7,2.8,60.3,2.8,61.4,2.7,61.7,2.8,2013
South Carolina,71.7,3,72.5,2.9,72.6,2.9,72.9,2.9,2013
South Dakota,68.4,2.8,67.4,2.8,68.8,2.8,66.6,2.8,2013
Tennessee,66,3,66.5,3,66.4,3,68.3,2.9,2013
Texas,63.1,1.6,63.2,1.6,63.5,1.6,63.2,1.6,2013
Utah,70.8,3.2,70.1,3.2,71.9,3.1,70.7,3.2,2013
Vermont,73.3,2.9,71,3,73,2.9,74.6,2.9,2013
Virginia,66.3,2.4,67.5,2.4,68.7,2.4,70,2.3,2013
Washington,63,2.7,63.1,2.7,62.5,2.7,62.3,2.7,2013
West Virginia,75.6,3.1,76.2,3,76.1,3,79.2,2.9,2013
Wisconsin,68.6,2.6,69.1,2.5,67.9,2.6,68.4,2.5,2013
Wyoming,70.4,3,69.8,3.1,70.9,3,71.1,3,2013
Alabama,71.6,3.3,72.4,3.3,71.2,3.3,72.6,3.3,2012
Alaska,66.1,3.1,63.8,3.2,62.6,3.2,62.4,3.2,2012
Arizona,65.9,3,64.7,3,65.7,3.1,64.8,3,2012
Arkansas,66.2,3.5,65.1,3.5,66.7,3.4,66,3.4,2012
California,54.4,1.3,54.7,1.3,54.9,1.3,54.1,1.3,2012
Colorado,64.5,2.5,65.2,2.5,66.6,2.5,64.9,2.5,2012
Connecticut,67.2,2.4,69.6,2.3,69.6,2.3,68.9,2.3,2012
Delaware,74.1,2.7,71.4,2.8,72.5,2.8,75.8,2.6,2012
District of Columbia,45.7,2.8,45,2.8,44.4,2.8,44.8,2.8,2012
Florida,67.8,1.7,67.6,1.7,66.5,1.7,66.2,1.7,2012
Georgia,64.5,2.4,63.8,2.4,63.9,2.4,65.1,2.4,2012
Hawaii,56.6,3.2,55.6,3.2,56.9,3.2,59.8,3.2,2012
Idaho,74.9,3.2,72.8,3.3,73.4,3.3,71,3.4,2012
Illinois,67,2,66.5,2,66.7,2,67.2,2,2012
Indiana,71,2.8,72.4,2.7,73,2.7,72.1,2.7,2012
Iowa,69.8,2.5,70,2.5,69.9,2.5,71,2.4,2012
Kansas,63.6,3,64.6,3,62.1,3,62.5,3,2012
Kentucky,68.6,2.9,69.5,2.9,69.1,2.9,67.7,2.9,2012
Louisiana,68.3,3.5,70.1,3.5,67.6,3.6,69.1,3.5,2012
Maine,72.9,2.6,74.4,2.5,75,2.5,74.2,2.6,2012
Maryland,69.3,2.3,67.7,2.4,68.2,2.3,68.7,2.3,2012
Massachusetts,66.2,2.9,67.1,2.9,64.4,2.9,65.6,2.8,2012
Michigan,74.6,2.2,74.8,2.2,75,2.1,74.8,2.1,2012
Minnesota,70.4,2.2,72.3,2.2,73.3,2.2,72.1,2.2,2012
Mississippi,75.1,3.5,74.1,3.5,72.6,3.6,75,3.5,2012
Missouri,71,2.6,70.5,2.6,70.7,2.6,70.8,2.6,2012
Montana,67.6,3.4,65.2,3.4,69.5,3.3,69.1,3.4,2012
Nebraska,69,2.8,70.4,2.7,69.5,2.7,68.5,2.7,2012
Nevada,58.2,2.9,55.4,2.9,53.6,2.9,55.8,2.9,2012
New Hampshire,73.3,2.4,74.4,2.3,76.3,2.3,75,2.3,2012
New Jersey,64.4,2.6,66.2,2.6,67.7,2.5,67.9,2.5,2012
New Mexico,68,3.6,67.7,3.6,65.4,3.6,66,3.6,2012
New York,52.4,1.8,54.7,1.8,54.1,1.8,53.1,1.8,2012
North Carolina,66.4,2.5,68.5,2.5,67.3,2.5,66.5,2.5,2012
North Dakota,65.6,3.2,66.5,3.2,67.6,3.2,65.1,3.2,2012
Ohio,68.4,2.1,67.5,2.1,67.5,2.1,67.9,2.1,2012
Oklahoma,69.8,3.2,68.9,3.2,67,3.2,69.4,3.2,2012
Oregon,66.3,3,66.9,3,68,3,63.2,3.1,2012
Pennsylvania,70.3,2,69.5,2,71.7,2,72.5,1.9,2012
Rhode Island,61.4,2.7,61.9,2.7,63.1,2.7,61.9,2.8,2012
South Carolina,71.4,3,72,3,71,3,71.7,3,2012
South Dakota,69.9,2.8,69.5,2.8,70.1,2.8,67.1,2.8,2012
Tennessee,66.7,3,68.3,3,68.7,2.9,68.1,2.9,2012
Texas,65.6,1.6,64.7,1.6,63.6,1.6,63.3,1.6,2012
Utah,70.7,3.2,71.4,3.2,71.4,3.1,71,3.1,2012
Vermont,74.4,2.8,73.9,2.9,72.6,2.9,72.5,2.9,2012
Virginia,66.6,2.4,67.1,2.4,69.1,2.3,68.5,2.3,2012
Washington,63.5,2.7,62.6,2.7,63,2.7,64.9,2.7,2012
West Virginia,77.7,2.9,74.1,3.1,74.6,3.1,76.7,3,2012
Wisconsin,68.3,2.5,67.3,2.6,66.6,2.6,67.9,2.6,2012
Wyoming,69.2,3.1,68.3,3.1,71.4,3,72.4,3,2012
Alabama,74.7,3.3,73.6,3.3,70.7,3.3,72.8,3.3,2011
Alaska,64,3.2,64.8,3.2,64.6,3.2,64,3.2,2011
Arizona,66.8,3,65.3,3,65.7,3,66.2,3,2011
Arkansas,70.5,3.3,64.9,3.5,66.1,3.4,68.6,3.3,2011
California,55.3,1.3,55.2,1.3,55.9,1.3,54.8,1.3,2011
Colorado,65,2.5,66,2.5,67.6,2.5,64.9,2.5,2011
Connecticut,70.7,2.3,72.2,2.3,70.2,2.3,69.4,2.3,2011
Delaware,74,2.7,72.9,2.8,74.9,2.7,74.8,2.6,2011
District of Columbia,46.6,2.8,44.7,2.8,44.3,2.8,43.7,2.8,2011
Florida,69.2,1.7,68.9,1.7,69.5,1.7,68.3,1.7,2011
