msa,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
"Poughkeepsie-Newburgh-Middletown, NJ",64.4,9.5,69.6,8.9,60.5,9.2,71.2,8.8,2014
Providence-New Bedford-Fall River RI-MA\26,63.4,5.8,58,6,64.1,5.9,60.9,5.9,2014
"Raleigh-Cary, NC\27",69.3,6.5,73.1,6.5,61.7,7.3,57.8,7.1,2014
"Richmond, VA\28",73.3,5.5,69.7,5.8,71.8,5.6,75.5,5.3,2014
"Riverside-San Bernardino-Ontario, CA\29",55.5,4.1,58.4,4.1,60.2,4,53.4,3.9,2014
"Rochester, NY",70,6.6,67.7,6.8,71.9,6.5,61.7,7.5,2014
"Sacramento-Arden-Arcade-Roseville, CA\30",60.7,5.2,64,5.1,57.5,5.2,58.2,5,2014
"St Louis, MO-IL",71.2,4.1,72.7,3.9,70.7,4,70,4.1,2014
"Salt Lake City, UT\31",66.8,5,68.9,4.8,68.7,5,68.3,5,2014
"San Antonio, TX ",69,5.2,73.7,4.9,71.3,5.2,66.9,5.2,2014
"San Diego-Carlsbad-San Marco, CAs\32",57.1,4.5,58.3,4.4,57.5,4.5,56.6,4.4,2014
"San Francisco-Oakland-Fremont, CA\33",54.6,3.6,54.1,3.6,53.8,3.6,55.8,3.5,2014
"San Jose-Sunnyvale-Santa Clara, CA\34",57.7,5.7,55.7,5.8,55.1,5.8,57.1,5.6,2014
"Seattle-Tacoma-Bellevue, WA",61.3,3.7,64.3,3.6,61.8,3.7,58,3.6,2014
"Springfield, MA",64.1,9.1,67.7,8.2,74,8.4,69.6,8.9,2014
"Syracuse, NY",53.5,9.5,64.6,8.9,59.7,9.2,63.5,9.1,2014
"Tampa-St Petersburg-Clearwater, FL",66.9,4.3,65.3,4.2,61.9,4.3,65.5,4.4,2014
"Toledo, OH",62.8,9.3,64.6,9.8,58.8,9.5,58.1,9.8,2014
"Tucson, AZ ",66.3,6.9,72.2,6.7,70.1,6.6,57.6,7.5,2014
"Tulsa, OK",67.5,6.9,61.6,7.1,66.3,6.6,65.7,6.5,2014
"Virginia Beach-Norfolk-Newport News, VA\35",65.2,6,65.8,6,64.9,6.1,60.5,6.3,2014
